sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
45,true,0.9138443216838839,1.2535405332355037e-4,-0.5302522933710808,2.531001400797983e-4
46,bfal,0.8504521679374876,2.582401156398129e-4,-0.3826847699822799,0.0011556716893715926
46,gfal,0.9169300041120856,1.252235628506021e-4,-0.4190111901820703,2.609288454847665e-4
46,qfal,0.916798471395787,2.2304897040945009e-4,-0.48468521440169354,9.111643905843973e-4
46,super,0.9160259243449024,1.1838437446395245e-4,-0.5153735164514442,2.208513165933617e-4
46,true,0.917185630667066,1.256763160615268e-4,-0.48568264579320886,2.5533766611978353e-4
47,bfal,0.8680253505305966,2.5793523059455435e-4,-0.42029394651220936,0.0010673617167003212
47,gfal,0.9332554671119546,1.2753074488469984e-4,-0.4284169019326399,2.4935611529829056e-4
47,qfal,0.9289097941028919,2.2534151556778795e-4,-0.49155223302392026,8.507218571025728e-4
47,super,0.9722766569723249,1.1990932015990623e-4,-0.5197074821944488,2.526205725605707e-4
47,true,0.9326867924747775,1.276507323569988e-4,-0.4908138484271877,2.461128522542348e-4
48,bfal,0.8471359479015064,2.51056130027481e-4,-0.4717126533879741,0.001082975476449495
48,gfal,0.9010004150769101,1.267984925550277e-4,-0.46745206561768415,2.673986908274087e-4
48,qfal,0.9030108481328764,2.2273664558968305e-4,-0.5320998736358112,8.805975311108963e-4
48,super,0.9300055653356148,1.2063612636989995e-4,-0.5471742271839605,3.3375764613714337e-4
48,true,0.9012467050226559,1.274629165090637e-4,-0.5273875166282397,2.636674894373962e-4
49,bfal,0.8519082860870456,2.5939864767008053e-4,-0.4323521544762731,0.0011088270672645437
49,gfal,0.9171831551483002,1.2561725801998476e-4,-0.45666145041244455,2.639358230648512e-4
49,qfal,0.9187132542407822,2.2304682387695992e-4,-0.5285387772980648,8.789239297966137e-4
49,super,0.9937760676521835,1.2032955715975242e-4,-0.5121603142132696,2.3220686596870803e-4
49,true,0.9175313297207313,1.2604270026777604e-4,-0.5167222904686418,2.593947737950561e-4
50,bfal,0.8584202182846926,2.606215435430261e-4,-0.4453692731931131,0.0010948729407074084
50,gfal,0.9211214901382011,1.2853463641263746e-4,-0.46516709508556786,2.616244888351015e-4
50,qfal,0.9198799578514565,2.274606616376911e-4,-0.5223189153280049,8.749213177918535e-4
50,super,0.9744806390783507,1.2190169588610045e-4,-0.5852798059719071,2.3014056418366971e-4
50,true,0.9204123333171751,1.290702017266765e-4,-0.5296532211172349,2.578372082049475e-4
51,bfal,0.8514708670879604,2.58647910379411e-4,-0.3719955862158254,0.001094622579202496
51,gfal,0.9223109907015034,1.2661783058964192e-4,-0.4261389603121622,2.603938738996041e-4
51,qfal,0.9198777882878614,2.2346971378586793e-4,-0.497265580089993,8.789121254794144e-4
51,super,0.9692166074178168,1.1953639090083095e-4,-0.5180131219124885,2.2136511304130665e-4
51,true,0.9215480256237172,1.2712127386643862e-4,-0.49282482653758397,2.5536999346253763e-4
52,bfal,0.8548369619948151,2.636636165127516e-4,-0.3883158069964862,0.0011305130409256553
52,gfal,0.9280985007715012,1.2407739362437905e-4,-0.41094794212791147,2.572017102438044e-4
52,qfal,0.926549104721981,2.2681818548768012e-4,-0.4798328639393875,8.867866166102186e-4
52,super,0.9723120031979858,1.1816424100977136e-4,-0.46366417558517864,2.265194594240139e-4
52,true,0.9282289650180852,1.2458308879428542e-4,-0.47850065817497345,2.5393656448017854e-4
53,bfal,0.8424108557973257,2.4716655077287837e-4,-0.4248285758905652,0.0010573864372163272
53,gfal,0.9058681527504046,1.234774802254422e-4,-0.4508055034793177,2.527183761908929e-4
53,qfal,0.9055223871333413,2.1603274060066546e-4,-0.507632832091126,8.461412610279265e-4
53,super,0.9199087694177003,1.1737500711283888e-4,-0.5218858512194559,2.1913646699036612e-4
53,true,0.9054511722138324,1.2340439260251937e-4,-0.5118621294985478,2.4839568261929464e-4
54,bfal,0.867717354108848,0.00025650689257043687,-0.40882307327598333,0.0011224661262242777
54,gfal,0.9276354560412708,1.254586927136753e-4,-0.44676747784476084,2.556327966594683e-4
54,qfal,0.930425602095725,2.223949487602338e-4,-0.5130548455190277,8.811997768994388e-4
54,super,0.9545602316573676,1.1951383513053262e-4,-0.5236223301642353,2.238148622412238e-4
54,true,0.9276279232719951,1.2586974288716077e-4,-0.509115058606899,2.5015871854343444e-4
55,bfal,0.8523305942192121,2.552298178870815e-4,-0.41864343396007603,0.0010672599233228085
55,gfal,0.9125740884655109,1.2318546553244473e-4,-0.4260315903879256,2.4327587521924757e-4
55,qfal,0.91034750982903,2.240098258008706e-4,-0.49233339129038617,8.604023568207003e-4
55,super,0.9806945124669966,1.1803211256217712e-4,-0.5036588880866792,2.1448168509942138e-4
55,true,0.9121338262759155,1.2342311120010593e-4,-0.48413456601268823,2.4004171116624815e-4
56,bfal,0.8549375882624232,2.547627559942708e-4,-0.4808932977857706,0.0010672487538412004
56,gfal,0.9188907611651841,1.279399994549325e-4,-0.4774453906833781,2.6307119311574516e-4
56,qfal,0.9159703610481742,2.2398017279697208e-4,-0.5506177107718567,8.49114226392316e-4
56,super,0.9913176009765151,1.2190124259782216e-4,-0.5468260111233131,2.2860941857571319e-4
56,true,0.9188126131005475,1.2835380965790693e-4,-0.5416195200029019,2.5900376661607325e-4
57,bfal,0.8631096230482135,2.5760513876195944e-4,-0.383255600260849,0.0010888593762488471
57,gfal,0.927598618884723,1.2634932086825072e-4,-0.4121845003727404,2.5908774703598875e-4
57,qfal,0.9226254416919707,2.2569502558245915e-4,-0.4828238785807577,8.807699422095355e-4
57,super,0.963182698746479,1.3180361390799147e-4,-0.48446266422099377,2.343389374971938e-4
57,true,0.9275713306529855,1.2692105923283486e-4,-0.47304308602177214,2.5498678533865187e-4
58,bfal,0.8900214283384116,2.5336063018594667e-4,-0.43205368266159566,0.0010771145326008873
58,gfal,0.9481096595422743,1.2649205808003654e-4,-0.4582406642693516,2.596249842330492e-4
58,qfal,0.9496616167310756,2.2259419783038172e-4,-0.5042392408925521,8.696611456639824e-4
58,super,0.9543613512447763,1.2042893489342042e-4,-0.5387133120905537,2.2504600091990796e-4
58,true,0.9482574752753308,1.26919026202921e-4,-0.5202873943554576,2.556723708441088e-4
59,bfal,0.8804255126853061,2.5115033216224043e-4,-0.3996752215408636,0.0010882081198834803
